K00521.01,8162789,10.0239222463,4.4907216495,0.999,172.000736,3.1627,1.06,48.44,-68.31,6032,7464,7.313
K00605.01,4832837,2.7043855357,1.7892061679,0.575,169.718913,1.8289,0.557,49.09,-49.32,3939,4312,11.56
K00148.01,5735762,4.5449558514,1.8263073639,0.856,124.061465,2.7361,0.873,51.24,44.55,5192,5000,9.095
K00148.02,5735762,9.2021109413,2.5963180363,0.856,125.339418,3.2641,0.873,51.24,44.55,5192,5000,9.095
K00939.01,9466668,3.2446997206,2.0387429644,0.949,170.5336,2.6849,1.25,52.17,-85.44,5553,4547,11.58
K00939.02,9466668,5.5921044611,1.9904315197,0.949,132.09261,3.1915,1.25,52.17,-85.44,5553,4547,11.58
K00939.03,9466668,1.5519220609,1.5169793621,0.949,132.06388,2.1888,1.25,52.17,-85.44,5553,4547,11.58
K00341.01,10878263,7.370855414,2.627035601,0.884,176.666844,2.9225,0.941,52.33,-45.37,5497,4935,8.909
K02250.01,5942808,2.9247625473,3.1711409396,0.79,136.18415,1.5043,0.823,53.4,32.76,4922,6668,8.093
K00168.01,11512246,10.9389601284,3.0741666667,1.036,133.2867,6.0633,1.518,54.98,-42.39,5761,5636,9.208
K00168.02,11512246,15.5538988936,2.1800462963,1.036,147.57983,6.0765,1.518,54.98,-42.39,5761,5636,9.208
K00370.01,8494142,44.3965970286,3.6311228755,1.24,203.6483,9.7471,1.763,56.04,-67.9,6143,5212,10.44
K00232.01,4833421,12.2059849919,5.4116033755,0.995,134.003258,5.0066,1.191,56.72,-48.68,6038,6124,7.956
K00232.02,4833421,5.6458932612,2.1742194093,0.995,134.01725,3.8314,1.191,56.72,-48.68,6038,6124,7.956
K00232.03,4833421,21.13724912,2.0880168776,0.995,142.96728,4.4968,1.191,56.72,-48.68,6038,6124,7.956
K00232.04,4833421,37.203700648,2.2891561181,0.995,162.97984,6.7751,1.191,56.72,-48.68,6038,6124,7.956
K00500.01,4852528,7.2715938593,2.0921973094,0.584,176.474146,2.3982,0.567,58.68,-36.95,4041,7194,8.041
K00500.02,4852528,9.8160156279,2.0921973094,0.584,177.484839,2.3569,0.567,58.68,-36.95,4041,7194,8.041
K00500.03,4852528,3.1671250345,1.2591928251,0.584,134.030017,1.8732,0.567,58.68,-36.95,4041,7194,8.041
K00500.04,4852528,4.7889986973,1.2882511211,0.584,134.58939,2.0271,0.567,58.68,-36.95,4041,7194,8.041
K00246.01,11295426,5.5623153559,2.1318638149,0.997,173.858666,3.4303,1.198,59.04,-63.71,5790,5445,11.09
K00938.01,9415172,10.379022515,3.2617159337,0.867,171.70192,3.3862,1.013,61.5,-62.56,5344,5140,11.32
K00938.02,9415172,1.0911429764,1.5158615717,0.867,133.91912,1.8955,1.013,61.5,-62.56,5344,5140,11.32
K00159.01,8972058,8.6069031986,2.762115797,1.032,136.73923,4.2447,1.171,61.82,40.32,5881,4508,11.08
K00111.01,6678383,11.199735977,2.3886245675,0.913,137.613711,4.6074,1.005,62.02,-2.932,5979,4804,8.909
K00111.02,6678383,23.1965038269,2.3581314879,0.913,132.71421,5.8297,1.005,62.02,-2.932,5979,4804,8.909
K00262.01,11807274,8.1290131597,1.7209756098,1.187,172.6138,4.098,1.543,63.53,-60.6,6237,4330,11.61
K00168.01,11512246,10.3654075759,3.0628228782,1.036,133.2867,6.0633,1.518,64.31,-70.39,5761,5808,11.25
K00168.02,11512246,14.7383754519,2.172001845,1.036,147.57983,6.0765,1.518,64.31,-70.39,5761,5808,11.25
K00707.02,9458613,39.6979696091,4.1025943396,1.1,172.57481,9.8052,1.694,64.59,-63.44,5900,4037,13.02
K00707.01,9458613,21.0695898253,4.9817216981,1.1,189.63828,7.9588,1.694,64.59,-63.44,5900,4037,13.02
K00707.03,9458613,30.7541707483,3.7153596698,1.1,135.87105,8.8077,1.694,64.59,-63.44,5900,4037,13.02
K00707.04,9458613,12.7483332124,2.9513561321,1.1,143.6789,6.6677,1.694,64.59,-63.44,5900,4037,13.02
K00864.01,6849310,4.454051106,3.174914611,0.956,173.576483,2.7251,0.927,64.83,-65.21,5527,6457,9.377
K00864.02,6849310,20.7120309707,2.7461480076,0.956,188.08821,4.556,0.927,64.83,-65.21,5527,6457,9.377
K00238.01,7219825,16.4882376844,2.6758679959,1.013,135.0922,4.5568,1.216,65.5,-66.21,6086,6457,10.44
K00238.02,7219825,25.5424970027,1.3427294603,1.013,143.9999,4.576,1.216,65.5,-66.21,6086,6457,10.44
K00416.01,6508221,18.3378997367,3.0178086726,0.826,185.84306,3.7965,0.738,66.76,-64.82,5176,7145,9.564
K00416.02,6508221,88.8852087837,2.9002317114,0.826,153.77974,4.539,0.738,66.76,-64.82,5176,7145,9.564
K00222.01,4249725,6.5324203079,1.9656019656,0.591,132.654418,2.7455,0.571,67.29,-46.78,4090,5559,9.643
K00941.01,9480189,6.6390243043,4.4686695279,0.868,174.787814,3.0896,0.973,67.3,-66.82,5188,6683,6.429
K00941.02,9480189,2.4034863307,2.6851216023,0.868,170.66626,1.8888,0.973,67.3,-66.82,5188,6683,6.429
