K00012.01,5812701,13.16,17.855221681,1.3860,146.5964660,7.41287,1.3670,11.353
K00112.01,10984090,2.75,51.079264510,0.9740,185.1808700,6.37290,1.0220,12.772
K00212.01,6300348,6.61,5.695902020,1.0130,139.2316370,3.56610,0.9400,14.858
K00312.01,7050989,2.06,11.578909260,1.1930,175.5860300,2.72070,1.3030,12.459
K00412.01,5683743,7.31,4.147021189,0.9770,170.3258350,2.89970,1.2050,14.288
K00512.01,6838050,2.78,6.510030010,1.0290,172.9158800,3.30950,1.1530,14.825
K00612.01,6587002,2.11,20.739894060,0.8050,173.2191200,3.15050,0.7700,14.157
K00812.01,4139816,2.03,3.340218842,0.5020,171.9790620,1.91040,0.4930,15.954
K00912.01,8505670,2.34,10.848451800,0.6090,171.8058400,2.99930,0.5910,15.058
K01112.01,3109930,2.33,37.810264900,0.9760,158.3579900,8.73300,0.9730,14.633
K01212.01,3749134,1.85,11.301230360,1.0050,134.9185500,4.02200,1.1220,14.981
K01312.01,10963242,2.04,6.146995600,1.1850,135.0738500,3.31530,1.2960,14.706
K01412.01,8950853,3.04,37.814525200,1.1960,134.6642400,9.10900,1.3140,13.601
K01612.01,10963065,0.69,2.465024332,1.0160,132.6812200,1.26200,1.1940,8.769
K02012.01,9839821,2.40,34.853690300,0.9370,164.0466800,5.33300,0.8480,14.876
K02212.01,10203349,3.64,17.146487560,0.9740,140.6612200,4.23540,1.4120,14.941
K02512.01,9574158,3.14,15.921081380,0.9170,147.0537000,1.54430,0.8200,15.523
K02612.01,9602613,0.51,4.612250430,0.9320,133.8613400,2.69500,0.9610,11.830
K02712.01,11098013,1.77,7.507900410,1.3290,138.7047000,5.64600,1.3370,11.125
K02812.01,2442448,2.61,76.613944600,0.9880,153.7930100,10.22000,1.0300,14.357
K03112.01,7022573,1.41,2.118893997,0.8920,132.8042000,0.82200,0.7960,15.855
K03312.01,11905409,1.91,18.093900400,0.9580,139.0170600,3.29400,0.8670,15.739
K03412.01,5780930,3.65,16.752507700,0.9550,131.5983400,3.17400,1.8020,14.534
K04212.01,1724719,1.69,5.791799340,1.1090,133.3581400,3.47400,1.3180,13.960
K04312.01,10722485,0.81,7.849318770,0.8280,134.8747000,3.74700,0.9900,13.858
K04912.01,5208962,1.35,0.876850385,1.3200,131.7703300,1.53400,1.7560,14.878
K05512.01,8396288,3.02,8.585287200,0.9130,137.3966200,2.83400,0.8180,16.565
K07112.01,8953281,1.14,0.784300610,0.6570,132.2316400,2.95200,0.6810,15.156
K07712.01,4996057,1.06,4.830236400,0.8770,134.9522000,7.98300,2.2470,11.994
K08012.01,10452252,0.42,34.573718512,0.2020,136.2275493,2.17420,0.2180,15.708
K00013.01,9941662,21.42,1.763587535,2.4660,120.5659254,3.16877,3.0310,9.958
K00313.01,7419318,2.10,18.735771270,0.8140,177.6343720,3.03560,0.7950,12.990
K00413.01,5791986,3.00,15.228955140,0.8780,176.5600100,2.59670,0.8120,14.769
K00513.01,6937692,4.17,35.181057230,1.2790,170.0996900,7.54500,1.2150,14.856
K00813.01,4275191,7.34,3.895936525,0.8660,170.5275520,2.31110,0.7740,15.725
K00913.01,8544996,10.55,4.082274889,0.8860,169.6375652,3.23015,0.7940,15.198
K01113.01,2854914,2.48,25.934064060,1.0590,149.7627300,4.61420,1.2250,13.703
K01413.01,9006449,1.55,12.645042910,0.8000,138.6314900,9.11700,0.8860,14.447
K01613.01,6268648,1.31,15.866247870,0.9740,141.0873400,4.25000,1.3080,11.049
K01713.01,8230616,1.34,6.827781570,0.5870,131.7883900,2.37260,0.5740,15.224
K01813.01,9455325,2.54,9.767859110,0.8640,139.4396800,2.16490,0.8520,13.766
K01913.01,9704384,1.49,5.508606990,0.8770,132.2983000,3.07880,0.8830,13.317
K02013.01,4056616,0.97,2.414348680,0.7150,132.4287800,1.27010,0.7240,13.156
K02113.01,7207061,2.62,15.942484530,0.8970,146.3315700,3.48940,0.8060,15.886
K02213.01,7457296,1.60,3.970766030,0.7320,134.6396200,1.81400,0.7780,15.443
