RA,DEC,max,min,med,avg,camera
41.26,-1.671,1,0,1,0.887,1
41.93,-45.76,2,0,2,1.604,3
41.99,-39.89,3,0,1,1.512,2
42.08,-26.5,2,0,1,1.12,2
42.11,-29.19,2,0,1,1.166,2
42.2,-52.59,2,0,2,1.931,3
42.25,-36.14,2,0,1,1.307,2
-42.25,-28.51,1,0,1,0.866,1
42.28,-45.11,2,0,2,1.584,3
42.3,-53.66,2,1,2,1.78,3
-42.72,-45.78,1,0,1,0.958,1
43.31,-29.17,2,0,1,1.173,2
-43.82,-72.12,2,0,1,1.388,2
-43.83,-26.75,1,0,1,0.858,1
-43.98,-26.9,1,0,1,0.858,1
44.55,-54.48,3,0,2,1.718,3
45.17,-71.67,5,2,4,3.794,3
45.86,-11.06,1,0,1,0.951,1
-46.52,-10.2,0,0,0,0,nan
46.66,-61.4,3,2,3,2.753,3
-46.76,-27.05,1,0,1,0.856,1
46.76,-26.17,2,0,0,0.623,2
-47.33,-6.537,0,0,0,0,nan
-47.36,-49.99,2,0,1,0.987,2
47.9,-9.823,1,0,1,0.946,1
47.9,-56.39,3,2,2,2.388,3
48.16,-67.75,6,3,4,4.089,3
48.24,-58.51,3,2,3,2.587,3
-48.27,-76.16,2,0,2,1.5,3
48.29,-67.77,6,3,4,4.145,3
48.44,-68.31,6,4,4,4.308,3
49.09,-49.32,2,0,2,1.935,3
-49.93,-2.508,0,0,0,0,nan
-50.29,-10.81,0,0,0,0,nan
50.38,-35.41,2,0,1,1.368,2
50.55,-73.52,6,4,6,5.276,4
50.6,-12.96,2,0,1,0.98,2
50.91,-47.29,2,0,2,1.866,3
-51.24,-44.55,1,0,1,0.935,1
51.32,-42.55,2,0,2,1.637,3
51.33,-67.62,6,4,5,5.201,3
51.45,-13.16,2,0,1,0.985,2
-51.52,-9.226,0,0,0,0,nan
52.17,-85.44,3,2,3,2.64,3
52.25,-32.1,2,0,1,1.3,2
52.28,-50.63,3,0,2,1.718,3
52.33,-45.37,2,0,2,1.793,3
-52.41,-27.67,1,0,1,0.855,1
52.43,-22.09,2,0,1,1.106,2
52.56,-24.95,2,0,1,1.155,2
53.33,-32.25,2,0,1,1.313,2
-53.34,-9.773,0,0,0,0,nan
-53.4,-32.76,1,0,1,0.87,1
53.7,-39.5,2,0,2,1.548,3
-54.14,-39.85,1,0,1,0.904,1
54.45,-66.76,8,6,6,6.431,4
54.55,-77.44,6,4,5,5.053,3
54.79,-30.06,2,0,1,1.272,2
54.98,-42.39,2,0,2,1.694,3
55.11,-83.6,3,2,3,2.877,3
55.3,-68.18,8,6,8,7.513,4
55.34,-26.76,2,0,1,1.206,2
55.51,-57.99,4,2,3,3.001,3
55.57,-63.66,6,4,6,5.514,4
55.67,-69.98,9,6,8,8.148,4
55.67,-35.09,3,0,1,1.541,2
55.7,-57.65,4,2,3,2.969,3
56.04,-67.9,9,6,8,7.958,4
-56.13,-41.65,1,0,1,0.911,1
56.24,-69.65,10,7,9,8.597,4
-56.39,-51.03,2,0,1,0.98,2
56.52,-48.81,3,0,2,1.718,3
56.72,-48.68,3,0,2,1.725,3
56.84,-15.51,2,0,1,1.031,2
57.47,-42.6,2,0,2,1.749,3
57.55,-24.19,2,0,1,1.169,2
57.67,-57.66,4,2,3,3.125,3
58.37,-65.95,10,8,9,9.06,4
58.41,-64.51,9,6,8,7.852,4
58.68,-36.95,2,0,2,1.513,3
58.71,-58.29,5,2,4,3.731,3
58.92,-8.808,1,0,1,0.961,1
59.04,-63.71,8,6,8,7.681,4
59.13,-23.57,2,0,1,1.165,2
59.47,-72.78,12,10,11,11.335,4
59.5,-60.49,6,4,6,5.375,4
59.56,-28.65,2,0,1,1.272,2
-59.77,-10.83,0,0,0,0,nan
59.99,-53.32,3,2,3,2.689,3
-60.09,-43.53,1,0,1,0.918,1
-60.23,-12.43,0,0,0,0,nan
60.47,-2.97,1,0,1,0.922,1
60.55,-1.947,1,0,1,0.916,1
-60.64,-72.37,2,0,1,1.337,2
60.73,-74.27,11,10,10,10.349,4
-61.17,-32.27,1,0,1,0.864,1
61.34,-71.93,13,12,13,12.635,4
61.36,-68.97,13,12,13,12.624,4
-61.42,-77.61,2,0,2,1.506,3
61.49,-80.12,5,4,5,4.575,3
61.5,-62.56,10,7,9,8.685,4
61.61,-79.73,6,4,5,4.86,3
61.74,-73.72,13,12,13,12.65,4
61.8,-68.62,13,12,13,12.62,4
-61.82,-40.32,1,0,1,0.899,1
61.87,-59.03,6,4,6,5.353,4
-61.88,-31.76,1,0,1,0.862,1
61.92,-70.67,13,12,13,12.62,4
62.02,-2.932,1,0,1,0.924,1
62.04,-56.68,5,2,4,3.794,3
62.2,-75.12,11,10,10,10.195,4
62.23,-75.93,10,8,9,8.821,4
62.59,-15.85,2,0,1,1.054,2
62.78,-24.95,2,0,1,1.209,2
62.89,-51.33,3,2,3,2.591,3
-62.97,-31.88,1,0,1,0.861,1
63.02,-38.98,2,0,2,1.656,3
63.13,-59.83,8,6,7,6.742,4
63.3,-50,3,2,2,2.458,3
63.53,-60.6,9,6,8,7.923,4
63.56,-22.72,2,0,1,1.169,2
63.62,-58.64,7,5,6,5.828,4
-63.73,-0.7404,0,0,0,0,nan
63.9,-30.54,2,0,1,1.348,2
63.91,-64.19,13,12,13,12.624,4
64.12,-2.575,1,0,1,0.925,1
64.27,-38.06,2,0,2,1.63,3
64.31,-70.39,13,12,13,12.591,4
64.5,-69.71,13,12,13,12.583,4
64.59,-63.44,13,12,13,12.628,4
64.83,-65.21,13,12,13,12.598,4
64.84,-74.51,13,12,13,12.635,4
64.94,-39.25,2,0,2,1.696,3
65.1,-15.75,2,0,1,1.06,2
65.11,-77.52,9,6,8,7.748,4
65.5,-66.21,13,12,13,12.576,4
65.53,-69.18,13,12,13,12.565,4
65.69,-64.49,13,12,13,12.594,4
65.97,-67.15,13,12,13,12.561,4
66.33,-50.74,3,2,3,2.673,3
66.42,-63.28,13,12,13,12.606,4
66.44,-51.15,3,2,3,2.732,3
66.68,-60.58,13,12,13,12.65,4
66.7,-61.02,13,12,13,12.643,4
66.71,-64.31,13,12,13,12.58,4
66.73,-54.49,5,2,4,3.703,3
66.76,-64.82,13,12,13,12.572,4
66.86,-28.85,2,0,1,1.321,2
67.04,-2.507,1,0,1,0.928,1
67.05,-61.56,13,12,13,12.628,4
67.22,-74.92,13,12,13,12.628,4
67.27,-74.16,13,12,13,12.613,4
67.29,-46.78,3,2,2,2.265,3
67.3,-66.82,13,12,13,12.535,4
67.49,-12.49,2,0,1,1.023,2
67.78,-66.43,13,12,13,12.531,4
68.05,-15.67,2,0,1,1.068,2
68.12,-74.44,13,12,13,12.609,4
68.16,-60.12,13,12,13,12.643,4
68.29,-42.36,2,0,2,1.931,3
68.36,-51.54,3,2,3,2.886,3
68.4,-18.36,2,0,1,1.11,2
68.42,-68.07,13,12,13,12.509,4
68.43,-77.62,10,8,9,8.775,4
68.45,-71.91,13,12,13,12.554,4
68.53,-65,13,12,13,12.535,4
68.61,-71.79,13,12,13,12.546,4
68.66,-14.04,2,0,1,1.046,2
69.49,-61.47,13,12,13,12.598,4
69.51,-74.34,13,12,13,12.598,4
69.6,-69.11,13,12,12,12.487,4
69.68,-51.73,4,2,3,2.985,3
69.69,-67.74,13,12,12,12.48,4
69.72,-59.83,13,12,13,12.631,4
-69.78,-31.66,1,0,1,0.857,1
69.92,-58.61,12,10,11,11.335,4
-70,-52.82,2,0,1,0.98,2
70.15,-70.25,13,12,12,12.491,4
70.23,-63.04,13,12,13,12.543,4
70.71,-71.79,13,12,13,12.517,4
-70.9,-40.31,1,0,0,0.03,1
-71.11,-62.31,2,0,1,1.106,2
71.29,-21.2,2,0,1,1.169,2
71.33,-22.53,2,0,1,1.195,2
71.4,-71.2,13,12,12,12.491,4
71.49,-75.42,13,12,13,12.609,4
71.5,-74.27,13,12,13,12.576,4
71.58,-64.24,13,12,12,12.483,4
71.81,-72.79,13,12,13,12.531,4
71.88,-57.14,10,8,9,9.01,4
-71.93,-62.38,2,0,1,1.107,2
72.06,-73.73,13,12,13,12.557,4
72.07,-10.96,2,0,1,1.013,2
72.12,-69.08,13,12,12,12.424,4
72.18,-75.66,13,12,13,12.613,4
72.27,-42.75,3,1,2,1.788,3
-72.36,-0.1361,0,0,0,0,nan
72.42,-67,13,12,12,12.402,4
72.46,-62.18,13,12,13,12.524,4
72.49,-61.2,13,12,13,12.557,4
-72.64,-51.79,1,0,1,0.967,1
