RA,DEC,max,min,med,avg,camera
90.77,-54.21,12,9,10,9.984,4
90.77,-54.21,12,9,10,9.984,4
91.64,-25.1,2,0,1,1.29,2
91.64,-25.1,2,0,1,1.29,2
91.69,-55.22,13,12,13,12.635,4
91.69,-55.22,13,12,13,12.635,4
91.92,-68.99,12,11,11,11.365,4
91.92,-68.99,12,11,11,11.365,4
91.92,-68.99,12,11,11,11.365,4
93.27,-61.67,13,12,12,12.187,4
93.27,-61.67,13,12,12,12.187,4
93.42,-59.55,13,12,12,12.424,4
93.42,-59.55,13,12,12,12.424,4
93.58,-55.65,13,12,13,12.624,4
93.58,-55.65,13,12,13,12.624,4
93.58,-55.65,13,12,13,12.624,4
93.74,49.52,0,0,0,0,nan
93.74,49.52,0,0,0,0,nan
93.74,49.52,0,0,0,0,nan
94.03,-62.81,12,11,12,11.994,4
94.03,-62.81,12,11,12,11.994,4
94.03,-62.81,12,11,12,11.994,4
94.07,-68.71,12,11,11,11.435,4
94.07,-68.71,12,11,11,11.435,4
94.07,-68.71,12,11,11,11.435,4
94.07,-68.71,12,11,11,11.435,4
94.31,-56.3,13,12,13,12.606,4
94.31,-56.3,13,12,13,12.606,4
95.21,-47.56,3,2,3,2.764,3
95.21,-47.56,3,2,3,2.764,3
95.21,-47.56,3,2,3,2.764,3
95.38,-62.3,13,12,12,12.146,4
95.38,-62.3,13,12,12,12.146,4
96.48,-63.38,13,12,12,12.013,4
96.48,-63.38,13,12,12,12.013,4
96.92,-38.1,2,0,2,1.813,3
96.92,-38.1,2,0,2,1.813,3
96.92,-38.1,2,0,2,1.813,3
97.1,-60.57,13,12,12,12.387,4
97.1,-60.57,13,12,12,12.387,4
99.26,-57.01,13,12,13,12.606,4
99.26,-57.01,13,12,13,12.606,4
99.4,-65.59,12,11,12,11.946,4
99.4,-65.59,12,11,12,11.946,4
99.4,-65.59,12,11,12,11.946,4
101.7,-55.36,11,8,9,9.375,4
101.7,-55.36,11,8,9,9.375,4
101.7,-55.36,11,8,9,9.375,4
102.3,-72.04,13,12,12,12.406,4
102.3,-72.04,13,12,12,12.406,4
103.8,-65.45,13,12,12,12.272,4
103.8,-65.45,13,12,12,12.272,4
103.8,-65.45,13,12,12,12.272,4
104.6,-54.1,7,5,6,5.85,4
104.6,-54.1,7,5,6,5.85,4
105.8,-76.23,13,12,13,12.617,4
105.8,-76.23,13,12,13,12.617,4
105.8,-76.23,13,12,13,12.617,4
106.9,-73.52,13,12,13,12.539,4
106.9,-73.52,13,12,13,12.539,4
106.9,-73.52,13,12,13,12.539,4
107.9,-26.56,2,0,1,1.289,2
107.9,-26.56,2,0,1,1.289,2
108,-63.63,13,12,12,12.487,4
108,-63.63,13,12,12,12.487,4
108,-63.63,13,12,12,12.487,4
111.5,-67.76,13,12,13,12.506,4
111.5,-67.76,13,12,13,12.506,4
111.7,-34.17,2,0,2,1.506,3
111.7,-34.17,2,0,2,1.506,3
112.8,-76.57,12,10,11,10.88,4
112.8,-76.57,12,10,11,10.88,4
112.8,-76.57,12,10,11,10.88,4
114.4,-52.61,3,2,3,2.904,3
114.4,-52.61,3,2,3,2.904,3
114.5,-64.13,13,12,13,12.602,4
114.5,-64.13,13,12,13,12.602,4
114.5,-64.13,13,12,13,12.602,4
115,-67.16,13,12,13,12.576,4
115,-67.16,13,12,13,12.576,4
115.8,-66.13,13,12,13,12.598,4
115.8,-66.13,13,12,13,12.598,4
115.9,-65.92,13,12,13,12.602,4
115.9,-65.92,13,12,13,12.602,4
116.9,-52.44,3,2,3,2.741,3
116.9,-52.44,3,2,3,2.741,3
117,-69.6,13,12,13,12.602,4
117,-69.6,13,12,13,12.602,4
117,-69.6,13,12,13,12.602,4
119.1,-73.78,13,11,12,12,4
119.1,-73.78,13,11,12,12,4
125.6,-75.57,7,5,6,5.916,4
125.6,-75.57,7,5,6,5.916,4
125.6,-75.57,7,5,6,5.916,4
125.6,-75.57,7,5,6,5.916,4
125.6,-75.57,7,5,6,5.916,4
125.8,-58.11,3,2,3,2.919,3
125.8,-58.11,3,2,3,2.919,3
131,-2.342,1,0,1,0.903,1
131,-2.342,1,0,1,0.903,1
135.2,-41.47,2,0,2,1.491,3
135.2,-41.47,2,0,2,1.491,3
136.3,-3.374,1,0,1,0.899,1
136.3,-3.374,1,0,1,0.899,1
136.6,-71.76,5,2,3,3.297,3
136.6,-71.76,5,2,3,3.297,3
136.6,-71.76,5,2,3,3.297,3
140.4,-74,4,2,3,3.005,3
140.4,-74,4,2,3,3.005,3
140.4,-74,4,2,3,3.005,3
140.4,-74,4,2,3,3.005,3
140.4,-74,4,2,3,3.005,3
143.5,-30.79,2,0,1,1.155,2
143.5,-30.79,2,0,1,1.155,2
144.6,-56.13,2,0,2,1.922,3
144.6,-56.13,2,0,2,1.922,3
144.8,-55.94,2,0,2,1.906,3
144.8,-55.94,2,0,2,1.906,3
144.8,-55.94,2,0,2,1.906,3
144.9,-69.62,3,2,3,2.642,3
