Semi-column delimated list
--------------------------------------------------------
Format     Meaning                                  Units
f          KOI number
f          New detections flag: 0, 1 or 2
f          TTV frequency                            [*10^-4 d^-1]
f          TTV frequency positive (+) uncertainty   [*10^-4 d^-1]
f          TTV frequency negative (-) uncertainty   [*10^-4 d^-1]
f          TTV period          [d]
f          Delta chi^2
f          Cumulative Chi^2 area test
f          Cumulative Chi^2 single-point test
f          Cumulative Chi^2 RMS test
f          Cumulative Chi^2 correlation test
f          TTV amplitude               [min]
f          TTV amplitude positive (+) uncertainty   [min]
f          TTV amplitude negative (-) uncertainty   [min]
f          TTV reference time          [KBJD]
f          TTV reference time positive (+) uncertainty   [d]
f          TTV reference time negative (-) uncertainty   [d]
f          Confidence
f          STD / median error ratio
Sub-list of other significant frequencies:
     If no other significant frequencies were found
           char       literal string of "--"
     If up to five other significant frequencies were identified
           f, f ....  list of frequencies (comma separated). If more than one than the list of encapsulated in square brackets "[" "]"
           char       literal "+/-"
           f          other TTV frequencies (rough) uncertainty
     If more than five other significant frequencies were identified
           (>5)       literal string
f          Stroboscopic frequency                   [*10^-4 d^-1]
f, f, ...  Comma-separated sub-list of previous references
char       Comment
  84.01      ; 0                  ;      31.80   ;      +0.18                ;      -0.18                    ;   314;    317                      ;      0.187         ;    -10.790         ;     13.228         ;      0.990         ;       5.40  ;      +0.26               ;      -0.27                   ;      291.3      ;       +4.2                   ;       -4.2                       ; 1                ;  1.20        ;  --           ;        532  ; 1        ; Kepler-19 b; 
  89.02      ; 0                  ;       5.39   ;      +0.67                ;      -0.74                    ;  1854;    182                      ;      0.483         ;    -22.188         ;     13.741         ;      0.954         ;         86  ;        +40               ;        -20                   ;         10      ;       +104                   ;       -146                       ; 1                ;  1.36        ; 24.1 +/-2.8          ;        43.  ; 1        ; ; 
  94.01      ; 1                  ;      80.06   ;      +0.49                ;      -0.52                    ;   125;     72                      ;      0.252         ;     -9.305         ;      8.650         ;      0.937         ;      0.817  ;     +0.073               ;     -0.086                   ;      198.8      ;       +5.8                   ;       -5.9                       ; 1                ;  1.54        ; [65.0, 117.4, 161.4] +/-2.8          ;        180  ;         ; Kepler-89 d, A mutual event system; 
  94.02      ; 1                  ;      64.13   ;      +0.28                ;      -0.27                    ;   156;    228                      ;      0.145         ;    -12.213         ;      7.622         ;      0.957         ;       5.86  ;      +0.51               ;      -0.52                   ;      149.8      ;       +3.3                   ;       -3.4                       ; 1                ;  1.67        ; (>5)          ;        100  ;         ; Kepler-89 c, A mutual event system; 
  94.03      ; 0                  ;      14.64   ;      +0.27                ;      -0.31                    ;   683;    299                      ;      0.061         ;    -27.076         ;      9.659         ;      0.995         ;       7.35  ;      +0.61               ;      -0.51                   ;        723      ;        +12                   ;        -17                       ; 1                ;  1.80        ; 42.4 +/-3.5          ;        50.  ; 1        ; Kepler-89 e; 
 100.01      ; 1                  ;     339.31   ;      +0.31                ;      -0.35                    ;    29;    108                      ;      0.396         ;     -6.342         ;     17.335         ;      0.656         ;       2.39  ;      +0.24               ;      -0.22                   ;     153.99      ;      +0.79                   ;      -0.78                       ; 1                ;  1.61        ;  --           ;        744  ;         ; ; 
 103.01      ; 0                  ;     38.111   ;     +0.076                ;     -0.079                    ;   262;   2419                      ;      0.194         ;    -37.914         ;    140.433         ;      0.999         ;      25.56  ;      +0.61               ;      -0.46                   ;      329.6      ;       +1.5                   ;       -1.4                       ; 1                ;  1.54        ; [28.3, 48.4, 72.6] +/-2.8          ;        487  ; 1        ; ; 
 105.01      ; 0                  ;     281.23   ;      +0.61                ;      -0.65                    ;    36;     20                      ;      0.376         ;     -2.752         ;      4.218         ;      0.735         ;       1.20  ;      +0.24               ;      -0.25                   ;      150.7      ;       +1.8                   ;       -1.8                       ;  0.990           ;  1.08        ;  --           ;        578  ;         ; ; 
 108.02      ; 0                  ;      10.60   ;      +0.33                ;      -0.34                    ;   943;    115                      ;      0.398         ;    -16.683         ;     18.669         ;      0.863         ;       20.3  ;       +1.8               ;       -1.9                   ;      767.2      ;      +10.2                   ;       -9.3                       ; 1                ;  1.42        ; 22.2 +/-2.4          ;        39.  ; 1, 6        ; Kepler-103 c; 
 115.01      ; 0                  ;     190.61   ;      +0.65                ;      -0.59                    ;    52;     40                      ;      0.205         ;     -2.883         ;      3.544         ;      0.938         ;       2.03  ;      +0.36               ;      -0.32                   ;      144.8      ;       +2.3                   ;       -2.3                       ;  0.998           ;  2.11        ;  --           ;        160  ; 5        ; Kepler-105 b, Bad background filtering of event near 1426.6; 
