Semi-column delimated list
--------------------------------------------------------
Format     Meaning                                  Units
f          KOI number
f          New detections flag: 0, 1 or 2
f          TTV frequency                            [*10^-4 d^-1]
f          TTV frequency positive (+) uncertainty   [*10^-4 d^-1]
f          TTV frequency negative (-) uncertainty   [*10^-4 d^-1]
f          TTV period          [d]
f          Delta chi^2
f          Cumulative Chi^2 area test
f          Cumulative Chi^2 single-point test
f          Cumulative Chi^2 RMS test
f          Cumulative Chi^2 correlation test
f          TTV amplitude               [min]
f          TTV amplitude positive (+) uncertainty   [min]
f          TTV amplitude negative (-) uncertainty   [min]
f          TTV reference time          [KBJD]
f          TTV reference time positive (+) uncertainty   [d]
f          TTV reference time negative (-) uncertainty   [d]
f          Confidence
f          STD / median error ratio
Sub-list of other significant frequencies:
     If no other significant frequencies were found
           char       literal string of "--"
     If up to five other significant frequencies were identified
           f, f ....  list of frequencies (comma separated). If more than one than the list of encapsulated in square brackets "[" "]"
           char       literal "+/-"
           f          other TTV frequencies (rough) uncertainty
     If more than five other significant frequencies were identified
           (>5)       literal string
f          Stroboscopic frequency                   [*10^-4 d^-1]
f, f, ...  Comma-separated sub-list of previous references
char       Comment
 377.03      ; 1                  ;        1.9   ;       +1.2                ;       -1.0                    ;  5302;     34                      ;      0.124         ;     -2.018         ;      2.737         ;      0.954         ;        7.3  ;      +11.0               ;       -5.7                   ;        820      ;       +468                   ;       -713                       ;  0.999           ;  2.05        ;  --           ;        600  ;         ; Kepler-9 d; 
 392.01      ; 0                  ;      24.10   ;      +0.72                ;      -0.56                    ;   415;     35                      ;      0.299         ;     -2.346         ;      3.295         ;      0.815         ;       30.4  ;       +4.4               ;       -3.8                   ;        370      ;        +22                   ;        -17                       ;  0.991           ;  1.19        ;  --           ;        105  ;         ; Kepler-147 c; 
 410.01      ; 2                  ;       1.80   ;      +0.13                ;      -0.17                    ;  5564;    410                      ;      0.232         ;     -8.329         ;     24.621         ;      0.982         ;       37.1  ;       +9.1               ;       -3.7                   ;       1386      ;       +102                   ;        -74                       ; 1                ;  1.14        ; 15.9 +/-2.4          ;        262  ; 1        ; ; 
 417.01      ; 0                  ;      12.36   ;      +0.91                ;      -0.95                    ;   809;     73                      ;      0.254         ;     -3.132         ;      3.338         ;      0.940         ;       1.02  ;      +0.22               ;      -0.21                   ;        756      ;        +33                   ;        -30                       ;  0.995           ;  1.10        ;  --           ;        149  ; 1        ; ; 
 430.01      ; 0                  ;      21.48   ;      +0.53                ;      -0.72                    ;   465;     41                      ;      0.192         ;     -2.751         ;      2.948         ;      0.895         ;       3.66  ;      +0.67               ;      -0.83                   ;        335      ;        +20                   ;        -27                       ;  0.992           ;  1.09        ;  --           ;        561  ;         ; ; 
 435.01      ; 0                  ;     118.73   ;      +0.64                ;      -0.59                    ;    84;     36                      ;      0.474         ;     -3.500         ;      4.031         ;      0.851         ;       4.90  ;      +0.98               ;      -0.93                   ;      217.9      ;       +3.5                   ;       -3.4                       ;  0.998           ;  1.12        ;  --           ;        333  ;         ; ; 
 442.02      ; 0                  ;     225.15   ;      +0.53                ;      -0.81                    ;    44;     34                      ;      0.291         ;     -1.043         ;      4.652         ;      0.866         ;        7.5  ;       +1.1               ;       -1.1                   ;      160.6      ;       +1.9                   ;       -2.0                       ;  0.998           ;  1.20        ;  --           ;        449  ;         ; Kepler-157 b; 
 456.01      ; 0                  ;      11.32   ;      +0.16                ;      -0.14                    ;   883;    447                      ;      0.159         ;    -10.759         ;     24.379         ;      0.993         ;      19.46  ;      +0.79               ;      -0.78                   ;      203.3      ;       +9.7                   ;       -9.5                       ; 1                ;  1.17        ; 23.8 +/-2.8          ;        315  ; 1        ; Kepler-160 c; 
 457.02      ; 0                  ;      35.56   ;      +0.29                ;      -0.25                    ;   281;    146                      ;      0.062         ;     -5.805         ;      4.748         ;      0.992         ;       8.39  ;      +0.64               ;      -0.66                   ;      356.2      ;       +5.5                   ;       -5.2                       ; 1                ;  1.33        ;  --           ;        101  ; 1        ; Kepler-161 c; 
 463.01      ; 1                  ;      32.87   ;      +0.64                ;      -0.65                    ;   304;     56                      ;      0.367         ;     -7.695         ;      5.517         ;      0.949         ;       3.92  ;      +0.82               ;      -0.74                   ;        272      ;        +14                   ;        -13                       ; 1                ;  1.26        ;  --           ;        146  ;         ; ; 
 464.01      ; 0                  ;      21.29   ;      +0.30                ;      -0.26                    ;   470;    109                      ;      0.113         ;     -9.995         ;      6.205         ;      0.994         ;       4.33  ;      +0.37               ;      -0.37                   ;        179      ;         +8                   ;        -10                       ; 1                ;  1.24        ; 71.3 +/-2.9          ;        25.  ; 1        ; ; 
 473.01      ; 0                  ;      11.93   ;      +0.19                ;      -0.16                    ;   838;    349                      ;      0.265         ;     -8.189         ;     33.617         ;      0.976         ;       30.0  ;       +1.1               ;       -1.2                   ;      587.2      ;       +6.1                   ;       -6.3                       ; 1                ;  1.14        ; 22.3 +/-3.1          ;        650  ; 1        ; ; 
 474.03      ; 0                  ;       3.80   ;      +0.99                ;      -0.56                    ;  2635;    178                      ;      0.422         ;     -8.172         ;     13.930         ;      0.832         ;        360  ;       +197               ;       -144                   ;       1940      ;       +221                   ;       -271                       ; 1                ;  1.36        ; 36.0 +/-3.5          ;        78.  ; 1        ; ; 
 481.03      ; 1                  ;       3.92   ;      +1.77                ;      -0.79                    ;  2551;     78                      ;      0.149         ;     -8.548         ;      4.446         ;      0.970         ;         30  ;        +14               ;        -11                   ;        270      ;       +190                   ;       -170                       ; 1                ;  1.08        ;  --           ;        183  ;         ; Kepler-166 c; 
 500.01      ; 0                  ;      51.99   ;      +0.31                ;      -0.26                    ;   192;    118                      ;      0.182         ;     -4.783         ;      6.175         ;      0.988         ;       7.14  ;      +0.72               ;      -0.75                   ;      177.0      ;       +5.6                   ;       -4.1                       ; 1                ;  2.30        ; [6.2, 84.6] +/-2.8          ;        272  ; 1, 2        ; Kepler-80 b; 
 500.02      ; 0                  ;      51.69   ;      +0.35                ;      -0.36                    ;   193;     80                      ;      0.157         ;     -4.723         ;      6.897         ;      0.950         ;       7.28  ;      +0.69               ;      -0.58                   ;      275.6      ;       +5.2                   ;       -4.2                       ; 1                ;  1.11        ; 6.3 +/-2.4          ;        102  ; 1, 2        ; Kepler-80 c; 
 505.01      ; 0                  ;     266.22   ;      +0.41                ;      -0.63                    ;    38;     36                      ;      0.313         ;     -4.443         ;      4.781         ;      0.830         ;        7.4  ;       +1.2               ;       -1.3                   ;      164.4      ;       +1.2                   ;       -1.2                       ;  0.995           ;  1.25        ;  --           ;        548  ;         ; Kepler-169 e; 
 520.01      ; 0                  ;       7.04   ;      +0.44                ;      -0.51                    ;  1420;    277                      ;      0.169         ;     -9.846         ;     11.164         ;      0.992         ;       19.7  ;       +1.3               ;       -1.1                   ;        471      ;        +29                   ;        -37                       ; 1                ;  1.46        ;  --           ;        336  ; 1        ; Kepler-176 c; 
 520.03      ; 0                  ;       7.62   ;      +0.56                ;      -0.69                    ;  1313;     85                      ;      0.370         ;     -5.084         ;      6.308         ;      0.980         ;       20.3  ;       +2.4               ;       -2.4                   ;       1152      ;        +41                   ;        -30                       ; 1                ;  1.17        ;  --           ;        117  ; 1        ; Kepler-176 d; 
 523.01      ; 0                  ;       4.33   ;      +1.08                ;      -0.70                    ;  2310;    116                      ;      0.159         ;    -10.311         ;      8.715         ;      0.981         ;       17.8  ;       +5.6               ;       -4.8                   ;        140      ;       +170                   ;       -125                       ; 1                ;  1.14        ; 62.8 +/-2.5          ;        25.  ; 1, 2, 5        ; Kepler-177 c; 
 524.01      ; 0                  ;      30.17   ;      +0.15                ;      -0.14                    ;   331;    536                      ;      0.097         ;     -8.230         ;     24.619         ;      0.999         ;      16.76  ;      +0.65               ;      -0.64                   ;      227.7      ;       +3.8                   ;       -3.8                       ; 1                ;  1.11        ;  --           ;        162  ; 1        ; ; 
 525.01      ; 2                  ;       5.63   ;      +0.28                ;      -0.26                    ;  1776;   1281                      ;      0.781         ;    -18.157         ;     83.484         ;      0.993         ;       55.3  ;       +3.7               ;       -3.4                   ;        277      ;        +36                   ;        -34                       ; 1                ;  1.22        ; [17.3, 36.8] +/-2.8          ;        241  ; 1        ; ; 
 528.02      ; 0                  ;       9.27   ;      +0.79                ;      -0.65                    ;  1078;     50                      ;      0.265         ;     -5.792         ;      3.617         ;      0.970         ;       21.2  ;       +4.3               ;       -3.9                   ;        873      ;        +28                   ;        -16                       ; 1                ;  1.06        ; 19.3 +/-2.4          ;        28.  ; 1        ; Kepler-178 d; 
 547.01      ; 1                  ;      17.04   ;      +0.51                ;      -0.54                    ;   587;     40                      ;      0.188         ;     -4.041         ;      4.305         ;      0.907         ;       5.13  ;      +0.66               ;      -0.81                   ;        393      ;        +19                   ;        -22                       ; 1                ;  1.13        ;  --           ;        116  ;         ; ; 
 551.02      ; 1                  ;     492.99   ;      +0.54                ;      -0.41                    ;    20;     39                      ;      0.470         ;     -1.616         ;      4.623         ;      0.950         ;      10.10  ;      +0.80               ;      -0.95                   ;     141.80      ;      +0.93                   ;      -0.62                       ;  0.999           ;  1.05        ;  --           ;        637  ;         ; Kepler-183 b; 
 564.02      ; 2                  ;       7.17   ;      +0.70                ;      -0.54                    ;  1394;    409                      ;      0.195         ;    -40.543         ;     29.874         ;      0.960         ;       56.4  ;       +7.3               ;       -6.3                   ;       1358      ;        +54                   ;        -55                       ; 1                ;  2.21        ; [22.4, 39.0] +/-3.9          ;        60.  ; 1        ; ; 
 588.01      ; 1                  ;     152.25   ;      +0.66                ;      -0.65                    ;    66;     36                      ;      0.129         ;     -3.774         ;      2.318         ;      0.965         ;        6.2  ;       +1.2               ;       -1.2                   ;      183.2      ;       +3.1                   ;       -3.3                       ;  0.999           ;  1.22        ;  --           ;        776  ;         ; ; 
 592.01      ; 0                  ;      20.26   ;      +0.33                ;      -0.33                    ;   493;     83                      ;      0.373         ;     -6.345         ;      7.756         ;      0.913         ;       30.2  ;       +3.1               ;       -3.3                   ;        149      ;        +12                   ;        -12                       ; 1                ;  1.10        ; 9.8 +/-2.1          ;        112  ; 1        ; ; 
 598.01      ; 0                  ;      16.89   ;      +0.60                ;      -0.59                    ;   592;     57                      ;      0.207         ;     -3.692         ;      6.417         ;      0.970         ;        8.9  ;       +1.1               ;       -1.1                   ;        309      ;        +22                   ;        -22                       ; 1                ;  1.12        ;  --           ;        694  ; 1        ; Kepler-195 b; 
 601.02      ; 1                  ;      73.79   ;      +0.95                ;      -0.86                    ;   136;     26                      ;      0.422         ;     -3.099         ;      3.150         ;      0.946         ;       3.01  ;      +0.64               ;      -0.68                   ;      162.5      ;       +6.0                   ;       -6.6                       ;  0.999           ;  1.05        ;  --           ;        473  ;         ; ; 
 607.01      ; 1                  ;     757.04   ;      +0.63                ;      -0.73                    ;    13;    106                      ;      0.077         ;    -18.901         ;     10.178         ;      0.993         ;      0.339  ;     +0.074               ;     -0.083                   ;     137.77      ;      +0.59                   ;      -0.80                       ; 1                ;  4.14        ; 730.7 +/-3.1          ;        741  ;         ; An EB (Santerne et al. 2012); 
 610.01      ; 0                  ;      91.06   ;      +0.72                ;      -0.64                    ;   110;     40                      ;      0.254         ;     -4.319         ;      2.447         ;      0.961         ;        7.3  ;       +1.3               ;       -1.4                   ;      152.0      ;       +6.7                   ;       -5.2                       ;  0.992           ;  1.17        ;  --           ;        679  ;         ; ; 
 620.01      ; 0                  ;      13.01   ;      +0.21                ;      -0.21                    ;   768;    251                      ;      0.153         ;    -19.812         ;     20.817         ;      0.976         ;       7.05  ;      +0.43               ;      -0.45                   ;      671.2      ;       +7.9                   ;       -8.4                       ; 1                ;  1.33        ;  --           ;        189  ; 1, 3        ; Kepler-51 b; 
 620.02      ; 0                  ;       6.91   ;      +0.53                ;      -0.68                    ;  1447;    398                      ;      0.206         ;    -33.369         ;     25.861         ;      0.969         ;       12.9  ;       +1.5               ;       -1.1                   ;        387      ;        +47                   ;        -53                       ; 1                ;  1.73        ; [19.9, 33.0] +/-2.7          ;        59.  ; 1, 3        ; Kepler-51 d; 
 620.03      ; 0                  ;       7.85   ;      +0.85                ;      -0.87                    ;  1274;     40                      ;      0.310         ;     -5.598         ;      4.217         ;      0.954         ;       13.7  ;       +2.0               ;       -1.9                   ;       1212      ;        +56                   ;        -51                       ; 1                ;  1.11        ; 38.1 +/-2.6          ;        29.  ; 1, 3, 3        ; Kepler-51 c; 
 631.01      ; 1                  ;     315.68   ;      +1.02                ;      -0.89                    ;    32;     56                      ;      0.303         ;     -4.186         ;      6.108         ;      0.940         ;       0.79  ;      +0.12               ;      -0.12                   ;      167.6      ;       +1.9                   ;       -1.6                       ; 1                ;  1.29        ;  --           ;        322  ;         ; ; 
 635.01      ; 1                  ;     127.45   ;      +0.63                ;      -0.68                    ;    78;     41                      ;      0.155         ;     -4.294         ;      2.235         ;      0.968         ;       4.56  ;      +0.79               ;      -0.80                   ;      179.2      ;       +3.7                   ;       -3.8                       ; 1                ;  1.16        ;  --           ;        152  ;         ; ; 
 638.01      ; 2                  ;       4.20   ;      +0.29                ;      -0.17                    ;  2381;   3632                      ;      0.458         ;    -37.504         ;    203.545         ;      0.999         ;        147  ;         +9               ;        -14                   ;       1460      ;        +33                   ;        -38                       ; 1                ;  2.04        ; (>5)          ;        6.3  ; 1        ; Kepler-199 b; 
 641.01      ; 1                  ;     160.35   ;      +0.57                ;      -0.54                    ;    62;     48                      ;      0.317         ;     -4.203         ;      4.149         ;      0.916         ;       3.60  ;      +0.49               ;      -0.63                   ;      153.0      ;       +2.9                   ;       -2.9                       ;  0.999           ;  1.40        ;  --           ;        559  ;         ; ; 
 661.02      ; 1                  ;       4.06   ;      +2.44                ;      -0.70                    ;  2465;     43                      ;      0.422         ;     -2.543         ;      3.469         ;      0.970         ;         86  ;        +46               ;        -37                   ;       1430      ;       +156                   ;       -217                       ; 1                ;  1.10        ;  --           ;        334  ;         ; Kepler-204 c; 
 672.02      ; 0                  ;       8.79   ;      +0.78                ;      -0.60                    ;  1138;     69                      ;      0.195         ;     -9.292         ;      5.662         ;      0.964         ;       9.41  ;      +0.98               ;      -0.93                   ;        701      ;        +25                   ;        -28                       ; 1                ;  1.18        ;  --           ;        38.  ; 1        ; Kepler-209 c; 
 676.01      ; 0                  ;      14.14   ;      +0.31                ;      -0.31                    ;   707;    108                      ;      0.130         ;     -5.341         ;      7.729         ;      0.977         ;       1.60  ;      +0.16               ;      -0.14                   ;        475      ;        +10                   ;        -13                       ; 1                ;  1.33        ;  --           ;        207  ; 1        ; Kepler-210 c; 
 678.01      ; 1                  ;      26.79   ;      +0.31                ;      -0.24                    ;   373;     58                      ;      0.231         ;     -2.657         ;      3.873         ;      0.918         ;        8.8  ;       +1.1               ;       -1.4                   ;      367.3      ;       +6.8                   ;       -8.3                       ;  0.999           ;  1.16        ;  --           ;        101  ;         ; Kepler-211 c; 
 695.01      ; 0                  ;        7.2   ;       +1.3                ;       -2.0                    ;  1385;     21                      ;      0.139         ;     -3.334         ;      2.136         ;      0.957         ;        6.4  ;       +2.4               ;       -1.5                   ;        667      ;        +48                   ;        -59                       ;  0.997           ;  1.14        ;  --           ;        210  ;         ; ; 
 707.01      ; 0                  ;      25.37   ;      +0.76                ;      -0.73                    ;   394;     27                      ;      0.154         ;     -3.815         ;      2.324         ;      0.954         ;        5.7  ;       +1.1               ;       -1.1                   ;        345      ;        +21                   ;        -24                       ;  0.993           ;  1.17        ;  --           ;        310  ; 4        ; Kepler-33 d; 
 707.02      ; 0                  ;      30.84   ;      +0.56                ;      -0.80                    ;   324;     38                      ;      0.436         ;     -4.218         ;      5.378         ;      0.968         ;       17.9  ;       +2.3               ;       -2.5                   ;        320      ;        +11                   ;        -12                       ; 1                ;  1.14        ;  --           ;        210  ; 4        ; Kepler-33 f; 
 707.03      ; 0                  ;      31.94   ;      +0.55                ;      -0.44                    ;   313;     41                      ;      0.137         ;     -3.534         ;      3.120         ;      0.963         ;       16.6  ;       +2.2               ;       -2.3                   ;        181      ;        +11                   ;        -13                       ; 1                ;  1.13        ;  --           ;        165  ; 3, 4        ; Kepler-33 e; 
 709.01      ; 0                  ;       9.28   ;      +0.38                ;      -0.59                    ;  1078;    115                      ;      0.170         ;     -5.204         ;      8.289         ;      0.969         ;       15.2  ;       +1.5               ;       -1.6                   ;       1022      ;        +16                   ;        -14                       ; 1                ;  1.15        ;  --           ;        266  ; 1        ; ; 
 718.01      ; 1                  ;        6.1   ;       +1.2                ;       -1.8                    ;  1632;     73                      ;      0.320         ;     -3.200         ;      4.427         ;      0.984         ;        7.8  ;       +4.3               ;       -1.2                   ;        598      ;        +43                   ;        -94                       ; 1                ;  1.15        ;  --           ;        889  ;         ; Kepler-219 b; 
 720.03      ; 2                  ;        5.1   ;       +1.3                ;       -1.0                    ;  1971;     90                      ;      0.130         ;     -8.399         ;      6.246         ;      0.974         ;        9.3  ;       +3.4               ;       -1.8                   ;        330      ;       +108                   ;       -111                       ; 1                ;  1.22        ;  --           ;        536  ; 1        ; Kepler-221 e; 
 723.03      ; 0                  ;     186.74   ;      +0.80                ;      -0.74                    ;    54;     10                      ;      0.271         ;     -3.086         ;      2.209         ;      0.968         ;       2.43  ;      +0.52               ;      -0.51                   ;      154.2      ;       +3.3                   ;       -3.2                       ;  0.992           ;  1.11        ;  --           ;        728  ;         ; Kepler-222 c; 
 730.01      ; 0                  ;       3.90   ;      +1.52                ;      -0.39                    ;  2564;    170                      ;      0.310         ;     -2.995         ;      9.305         ;      0.941         ;        290  ;        +75               ;       -155                   ;        675      ;        +15                   ;        -17                       ; 1                ;  1.18        ;  --           ;        455  ; 1        ; Kepler-223 d; 
 730.03      ; 0                  ;       6.14   ;      +0.53                ;      -0.60                    ;  1630;    101                      ;      0.198         ;     -3.467         ;      8.147         ;      0.978         ;        100  ;        +13               ;        -11                   ;       1374      ;        +70                   ;        -56                       ; 1                ;  1.07        ; 38.1 +/-2.4          ;        132  ; 1        ; Kepler-223 e; 
 735.01      ; 0                  ;     161.52   ;      +0.80                ;      -0.71                    ;    62;     34                      ;      0.332         ;     -3.083         ;      3.219         ;      0.956         ;       11.9  ;       +2.0               ;       -2.1                   ;      204.2      ;       +2.7                   ;       -2.7                       ;  0.996           ;  1.29        ;  --           ;        175  ;         ; ; 
 738.01      ; 0                  ;       3.55   ;      +0.40                ;      -0.31                    ;  2821;    466                      ;      0.713         ;     -6.760         ;     19.180         ;      0.983         ;        159  ;        +37               ;        -32                   ;       1130      ;        +24                   ;        -22                       ; 1                ;  1.11        ; [21.6, 36.9] +/-2.4          ;        955  ; 1, 5        ; Kepler-29 b; 
 738.02      ; 0                  ;       4.27   ;      +0.50                ;      -0.58                    ;  2344;    429                      ;      0.640         ;     -7.153         ;     18.416         ;      0.991         ;        135  ;        +55               ;        -25                   ;        -10      ;       +105                   ;       -183                       ; 1                ;  1.13        ; [23.7, 36.2] +/-2.4          ;        180  ; 1, 5        ; Kepler-29 c; 
 739.01      ; 0                  ;      58.68   ;      +0.47                ;      -0.57                    ;   170;     30                      ;      0.267         ;     -1.239         ;      3.605         ;      0.916         ;       3.52  ;      +0.69               ;      -0.70                   ;      145.8      ;       +7.6                   ;       -7.8                       ;  0.992           ;  1.10        ;  --           ;        767  ;         ; ; 
 746.01      ; 2                  ;       5.61   ;      +0.75                ;      -0.63                    ;  1781;    122                      ;      0.149         ;     -4.755         ;      8.888         ;      0.961         ;       14.0  ;       +2.8               ;       -1.8                   ;        470      ;        +53                   ;        -59                       ; 1                ;  1.24        ; 16.7 +/-2.4          ;        905  ; 1        ; ; 
 750.01      ; 0                  ;      57.11   ;      +0.64                ;      -0.62                    ;   175;     24                      ;      0.680         ;     -2.392         ;      2.744         ;      0.920         ;        7.7  ;       +3.0               ;       -2.2                   ;      149.2      ;       +8.1                   ;       -6.4                       ;  0.993           ;  1.08        ;  --           ;        392  ;         ; ; 
 753.01      ; 0                  ;       9.76   ;      +0.61                ;      -0.65                    ;  1025;     43                      ;      0.279         ;     -4.619         ;      6.055         ;      0.921         ;       1.27  ;      +0.22               ;      -0.22                   ;       1111      ;        +42                   ;        -40                       ;  0.994           ;  1.24        ;  --           ;        416  ;         ; ; 
 757.02      ; 2                  ;        6.0   ;       +0.8                ;       -1.2                    ;  1660;    150                      ;      0.413         ;     -6.784         ;      8.983         ;      0.987         ;       39.6  ;      +13.5               ;       -4.5                   ;       1184      ;        +66                   ;        -51                       ; 1                ;  1.16        ; [18.6, 75.2] +/-2.8          ;        35.  ; 1        ; Kepler-229 d; 
 759.01      ; 0                  ;       8.25   ;      +0.19                ;      -0.22                    ;  1212;    706                      ;      0.501         ;    -16.427         ;     59.663         ;      0.997         ;       55.2  ;       +1.9               ;       -1.8                   ;     1136.4      ;      +12.3                   ;       -9.4                       ; 1                ;  1.27        ; [18.5, 33.5, 64.1, 71.9] +/-3.2          ;        254  ; 1        ; Kepler-230 b; 
 775.01      ; 0                  ;      49.04   ;      +0.80                ;      -0.70                    ;   204;     30                      ;      0.405         ;     -3.917         ;      5.654         ;      0.953         ;       10.9  ;       +1.6               ;       -1.9                   ;      189.4      ;       +9.5                   ;       -8.5                       ;  0.998           ;  1.15        ;  --           ;        523  ;         ; Kepler-52 c; 
 775.02      ; 0                  ;      48.59   ;      +0.28                ;      -0.23                    ;   206;    208                      ;      0.072         ;     -5.568         ;      7.863         ;      0.995         ;       17.3  ;       +1.2               ;       -1.1                   ;      282.0      ;       +3.5                   ;       -3.4                       ; 1                ;  1.12        ;  --           ;        650  ; 1, 3        ; Kepler-52 b; 
 783.01      ; 1                  ;     186.70   ;      +0.62                ;      -0.67                    ;    54;     67                      ;      0.424         ;     -2.936         ;      6.320         ;      0.927         ;       2.76  ;      +0.42               ;      -0.45                   ;      182.2      ;       +2.8                   ;       -3.1                       ; 1                ;  1.18        ;  --           ;        44.  ;         ; ; 
 784.01      ; 0                  ;      19.72   ;      +0.37                ;      -0.38                    ;   507;     76                      ;      0.138         ;     -5.185         ;      3.595         ;      0.976         ;       16.9  ;       +2.4               ;       -2.5                   ;        552      ;        +11                   ;        -13                       ; 1                ;  1.19        ;  --           ;        68.  ; 1        ; Kepler-231 c; 
 799.01      ; 1                  ;        7.9   ;       +0.8                ;       -1.1                    ;  1270;     78                      ;      0.148         ;     -2.563         ;      5.598         ;      0.974         ;       5.34  ;      +1.38               ;      -0.77                   ;        210      ;        +60                   ;       -108                       ; 1                ;  1.17        ; 18.5 +/-2.1          ;        372  ;         ; ; 
 804.01      ; 0                  ;      454.5   ;       +1.1                ;       -1.1                    ;    22;     26                      ;      0.346         ;     -2.186         ;      3.072         ;      0.944         ;        6.9  ;       +1.5               ;       -1.6                   ;      145.4      ;       +1.7                   ;       -1.8                       ;  0.992           ;  1.04        ;  --           ;        978  ;         ; ; 
 806.01      ; 0                  ;     26.797   ;     +0.065                ;     -0.063                    ;   373;   2852                      ;      0.226         ;   -123.714         ;    174.351         ;      0.946         ;       67.2  ;       +1.2               ;       -1.3                   ;      451.8      ;       +1.2                   ;       -1.0                       ; 1                ;  2.42        ; 17.0 +/-2.7          ;        20.  ; 1        ; Kepler-30 d; 
 806.02      ; 0                  ;     10.342   ;     +0.032                ;     -0.037                    ;   967;   8454                      ;      0.203         ;   -279.262         ;    741.660         ;      0.959         ;      31.28  ;      +0.28               ;      -0.33                   ;     1178.4      ;       +2.1                   ;       -1.8                       ; 1                ;  3.03        ; [20.3, 48.9, 76.0] +/-3.8          ;        45.  ; 1, 3        ; Kepler-30 c; 
 823.01      ; 1                  ;       6.56   ;      +0.68                ;      -0.78                    ;  1524;   1646                      ;      0.393         ;     -4.506         ;     28.555         ;      0.888         ;       1.47  ;      +0.38               ;      -0.20                   ;        743      ;        +12                   ;        -12                       ; 1                ;  1.96        ; (>5)          ;        321  ;         ; Active star; 
 824.01      ; 0                  ;      10.17   ;      +0.29                ;      -0.38                    ;   983;    181                      ;      0.451         ;     -9.779         ;     18.289         ;      0.916         ;       6.73  ;      +0.64               ;      -0.81                   ;        654      ;        +11                   ;        -12                       ; 1                ;  1.16        ; [23.8, 47.7, 64.3] +/-3.6          ;        312  ; 1        ; ; 
 829.01      ; 0                  ;      17.48   ;      +0.48                ;      -0.48                    ;   572;     54                      ;      0.302         ;     -4.793         ;      6.193         ;      0.970         ;       16.3  ;       +2.6               ;       -2.4                   ;        133      ;        +23                   ;        -22                       ; 1                ;  1.20        ;  --           ;        361  ; 1, 2        ; Kepler-53 b; 
 829.03      ; 0                  ;      17.22   ;      +0.38                ;      -0.41                    ;   581;     57                      ;      0.111         ;     -5.856         ;      2.547         ;      0.991         ;       21.8  ;       +2.3               ;       -2.4                   ;        396      ;        +16                   ;        -18                       ; 1                ;  1.08        ;  --           ;        253  ; 1, 2, 3        ; Kepler-53 c; 
 834.01      ; 0                  ;      26.46   ;      +0.48                ;      -0.45                    ;   378;     60                      ;      0.236         ;     -3.313         ;      4.843         ;      0.949         ;       4.03  ;      +0.56               ;      -0.51                   ;        270      ;        +13                   ;        -14                       ; 1                ;  1.34        ;  --           ;        246  ; 1, 2        ; Kepler-238 e; 
 841.01      ; 0                  ;      13.86   ;      +0.17                ;      -0.15                    ;   721;    261                      ;      0.156         ;     -9.288         ;     17.326         ;      0.990         ;      15.16  ;      +0.90               ;      -0.93                   ;      145.7      ;       +9.3                   ;       -9.4                       ; 1                ;  1.11        ;  --           ;        319  ; 1, 3        ; Kepler-27 b; 
 841.02      ; 0                  ;      13.95   ;      +0.16                ;      -0.16                    ;   717;    356                      ;      0.169         ;    -15.189         ;     27.562         ;      0.982         ;      17.07  ;      +0.84               ;      -0.92                   ;      534.9      ;       +6.0                   ;       -5.6                       ; 1                ;  1.18        ; [44.6, 138.9] +/-2.8          ;        90.  ; 1, 3        ; Kepler-27 c; 
 868.01      ; 0                  ;      9.983   ;     +0.081                ;     -0.088                    ;  1002;   4641                      ;      0.093         ;   -259.883         ;    230.947         ;      0.995         ;      35.91  ;      +0.51               ;      -0.59                   ;      928.6      ;       +1.9                   ;       -2.1                       ; 1                ;  3.08        ; 21.1 +/-3.4          ;        14.  ; 1        ; ; 
 869.02      ; 0                  ;      16.78   ;      +0.16                ;      -0.18                    ;   596;    317                      ;      0.416         ;     -8.907         ;     15.970         ;      0.991         ;       62.0  ;       +2.9               ;       -2.8                   ;      384.7      ;       +6.6                   ;       -7.1                       ; 1                ;  1.16        ; 5.8 +/-2.5          ;        83.  ; 1, 3        ; Kepler-245 d; 
 870.01      ; 0                  ;      43.35   ;      +0.38                ;      -0.33                    ;   231;    115                      ;      0.243         ;     -4.740         ;     10.441         ;      0.959         ;       8.77  ;      +0.59               ;      -0.82                   ;      210.4      ;       +6.4                   ;       -5.8                       ; 1                ;  1.17        ;  --           ;        573  ; 1        ; Kepler-28 b; 
 870.02      ; 0                  ;      44.25   ;      +0.34                ;      -0.39                    ;   226;     89                      ;      0.315         ;     -5.696         ;      5.612         ;      0.975         ;       12.0  ;       +1.1               ;       -1.2                   ;      331.1      ;       +4.6                   ;       -4.9                       ; 1                ;  1.15        ;  --           ;        841  ; 1, 3        ; Kepler-28 c; 
 872.01      ; 0                  ;     52.630   ;     +0.028                ;     -0.028                    ;   190;  12073                      ;      0.294         ;   -207.292         ;    971.868         ;      0.998         ;      52.14  ;      +0.50               ;      -0.45                   ;     336.75      ;      +0.35                   ;      -0.36                       ; 1                ;  3.18        ; (>5)          ;        123  ; 1        ; Kepler-46 b; 
 877.01      ; 0                  ;      17.45   ;      +0.65                ;      -0.63                    ;   573;     28                      ;      0.194         ;     -2.749         ;      2.764         ;      0.928         ;       2.96  ;      +0.58               ;      -0.56                   ;        659      ;        +20                   ;        -18                       ;  0.996           ;  1.21        ;  --           ;        713  ; 2        ; Kepler-81 b; 
