RA,DEC,max,min,med,avg,camera
93.27,-61.67,13,12,12,12.187,4
93.27,-61.67,13,12,12,12.187,4
93.42,-59.55,13,12,12,12.424,4
93.42,-59.55,13,12,12,12.424,4
94.03,-62.81,12,11,12,11.994,4
94.03,-62.81,12,11,12,11.994,4
94.31,-56.3,13,12,13,12.606,4
94.31,-56.3,13,12,13,12.606,4
94.88,-73.18,13,12,12,12.394,4
94.88,-73.18,13,12,12,12.394,4
96.48,-63.38,13,12,12,12.013,4
96.48,-63.38,13,12,12,12.013,4
97.1,-60.57,13,12,12,12.387,4
97.1,-60.57,13,12,12,12.387,4
97.82,-61.42,13,12,12,12.328,4
97.82,-61.42,13,12,12,12.328,4
99.03,-65.67,12,11,12,11.902,4
99.03,-65.67,12,11,12,11.902,4
99.14,-59.88,13,12,12,12.472,4
99.14,-59.88,13,12,12,12.472,4
100.3,-60.95,13,12,12,12.424,4
100.3,-60.95,13,12,12,12.424,4
-100.8,-73.76,2,0,1,1.343,2
-100.8,-73.76,2,0,1,1.343,2
101.1,-59.73,13,12,13,12.509,4
101.1,-59.73,13,12,13,12.509,4
101.6,-55.22,10,8,9,9.06,4
101.6,-55.22,10,8,9,9.06,4
101.7,-67.78,13,12,12,12.12,4
101.7,-67.78,13,12,12,12.12,4
101.9,-72.33,13,12,12,12.417,4
101.9,-72.33,13,12,12,12.417,4
103.7,-22.42,2,0,1,1.208,2
103.7,-22.42,2,0,1,1.208,2
-104.8,-65.65,2,0,1,1.161,2
-104.8,-65.65,2,0,1,1.161,2
105.1,-52.16,5,2,4,3.876,3
105.1,-52.16,5,2,4,3.876,3
105.5,-50.66,4,2,3,3.031,3
105.5,-50.66,4,2,3,3.031,3
105.8,-76.23,13,12,13,12.617,4
105.8,-76.23,13,12,13,12.617,4
106.2,-65.17,13,12,12,12.387,4
106.2,-65.17,13,12,12,12.387,4
106.2,-65.17,13,12,12,12.387,4
106.9,-73.52,13,12,13,12.539,4
106.9,-73.52,13,12,13,12.539,4
108.5,-16.38,2,0,1,1.088,2
108.5,-16.38,2,0,1,1.088,2
109.3,-63.27,13,12,13,12.528,4
109.3,-63.27,13,12,13,12.528,4
109.7,-35.21,2,0,2,1.566,3
109.7,-35.21,2,0,2,1.566,3
110.1,-52.04,4,2,3,3.055,3
110.1,-52.04,4,2,3,3.055,3
110.9,-60.13,13,12,13,12.631,4
110.9,-60.13,13,12,13,12.631,4
111.4,-69.11,13,12,13,12.509,4
111.4,-69.11,13,12,13,12.509,4
112.6,-69.44,13,12,13,12.535,4
112.6,-69.44,13,12,13,12.535,4
113.1,-67.81,13,12,13,12.539,4
113.1,-67.81,13,12,13,12.539,4
114.3,-74.01,13,12,13,12.62,4
114.3,-74.01,13,12,13,12.62,4
115,-67.16,13,12,13,12.576,4
115,-67.16,13,12,13,12.576,4
115.4,-40.18,2,0,2,1.741,3
115.4,-40.18,2,0,2,1.741,3
115.9,-65.92,13,12,13,12.602,4
115.9,-65.92,13,12,13,12.602,4
119.6,-18.39,2,0,1,1.084,2
119.6,-18.39,2,0,1,1.084,2
120,-69.73,13,12,13,12.639,4
120,-69.73,13,12,13,12.639,4
-121.7,-64.18,2,0,1,1.162,2
-121.7,-64.18,2,0,1,1.162,2
123.5,-53.84,3,2,3,2.567,3
123.5,-53.84,3,2,3,2.567,3
123.5,-53.84,3,2,3,2.567,3
123.5,-53.84,3,2,3,2.567,3
123.5,-53.84,3,2,3,2.567,3
125.6,-75.57,7,5,6,5.916,4
125.6,-75.57,7,5,6,5.916,4
129.3,-77.33,6,4,4,4.325,3
129.3,-77.33,6,4,4,4.325,3
-131,-2.342,0,0,0,0,nan
-131,-2.342,0,0,0,0,nan
133.2,-70.47,6,3,4,4.145,3
133.2,-70.47,6,3,4,4.145,3
134.6,-66.97,4,2,3,3.135,3
134.6,-66.97,4,2,3,3.135,3
136.3,-3.374,1,0,1,0.899,1
136.3,-3.374,1,0,1,0.899,1
137.9,-50.26,2,0,2,1.806,3
137.9,-50.26,2,0,2,1.806,3
142.1,-15.64,1,0,1,0.965,1
142.1,-15.64,1,0,1,0.965,1
142.6,-68.58,3,2,3,2.708,3
142.6,-68.58,3,2,3,2.708,3
142.6,-68.58,3,2,3,2.708,3
142.6,-68.58,3,2,3,2.708,3
142.6,-68.58,3,2,3,2.708,3
-144.6,-56.13,2,0,1,1.102,2
-144.6,-56.13,2,0,1,1.102,2
-144.8,-45.46,2,0,1,1.171,1
-144.8,-45.46,2,0,1,1.171,1
149.5,-85.42,3,2,2,2.445,3
149.5,-85.42,3,2,2,2.445,3
150.6,-67.89,3,2,2,2.321,3
150.6,-67.89,3,2,2,2.321,3
151,-45.6,3,0,1,1.42,2
151,-45.6,3,0,1,1.42,2
156.1,-16.49,1,0,1,0.931,1
156.1,-16.49,1,0,1,0.931,1
-156.2,-1.458,0,0,0,0,nan
-156.2,-1.458,0,0,0,0,nan
-158.9,-50.29,2,0,1,1.081,2
-158.9,-50.29,2,0,1,1.081,2
-159.5,-68.79,3,0,1,1.516,3
-159.5,-68.79,3,0,1,1.516,3
-159.6,-73.04,2,0,2,1.576,3
-159.6,-73.04,2,0,2,1.576,3
-159.6,-73.04,2,0,2,1.576,3
-167.5,-72.6,2,0,2,1.641,3
-167.5,-72.6,2,0,2,1.641,3
168.3,-83.35,3,2,2,2.275,3
