#RA,DEC,max,min,med,avg,camera
26.390000,-28.320000,2.000000,0.000000,1.000000,1.055000,2.000000
26.930000,1.773000,1.000000,0.000000,1.000000,0.856000,1.000000
27.140000,51.170000,0.000000,0.000000,0.000000,0.000000,nan
27.190000,-67.080000,3.000000,2.000000,2.000000,2.205000,3.000000
27.330000,-36.150000,2.000000,0.000000,1.000000,1.179000,2.000000
27.370000,-71.590000,3.000000,2.000000,2.000000,2.402000,3.000000
27.430000,60.540000,0.000000,0.000000,0.000000,0.000000,nan
27.440000,-1.258000,1.000000,0.000000,1.000000,0.866000,1.000000
27.940000,-55.770000,2.000000,0.000000,2.000000,1.720000,3.000000
27.950000,-53.500000,2.000000,0.000000,2.000000,1.633000,3.000000
27.970000,0.433600,1.000000,0.000000,1.000000,0.861000,1.000000
28.080000,-13.340000,1.000000,0.000000,1.000000,0.923000,1.000000
28.130000,-17.110000,1.000000,0.000000,1.000000,0.947000,1.000000
28.140000,23.920000,0.000000,0.000000,0.000000,0.000000,nan
28.700000,-57.310000,2.000000,0.000000,2.000000,1.801000,3.000000
28.700000,-29.360000,2.000000,0.000000,1.000000,1.082000,2.000000
28.770000,-12.980000,1.000000,0.000000,1.000000,0.922000,1.000000
29.560000,-4.682000,1.000000,0.000000,1.000000,0.881000,1.000000
30.200000,-13.240000,1.000000,0.000000,1.000000,0.928000,1.000000
30.220000,-80.990000,3.000000,2.000000,3.000000,2.590000,3.000000
30.670000,66.870000,0.000000,0.000000,0.000000,0.000000,nan
31.350000,-30.050000,2.000000,0.000000,1.000000,1.108000,2.000000
31.460000,65.770000,0.000000,0.000000,0.000000,0.000000,nan
31.490000,23.700000,0.000000,0.000000,0.000000,0.000000,nan
31.500000,6.164000,1.000000,0.000000,1.000000,0.848000,1.000000
31.860000,-54.470000,2.000000,0.000000,2.000000,1.755000,3.000000
31.890000,-25.780000,2.000000,0.000000,1.000000,1.052000,2.000000
31.900000,-88.990000,3.000000,2.000000,2.000000,2.281000,3.000000
32.470000,-37.910000,2.000000,0.000000,1.000000,1.255000,2.000000
32.620000,-43.060000,2.000000,0.000000,1.000000,1.372000,2.000000
33.080000,-16.570000,1.000000,0.000000,1.000000,0.958000,1.000000
33.210000,44.670000,0.000000,0.000000,0.000000,0.000000,nan
33.310000,-31.030000,1.000000,0.000000,1.000000,0.800000,2.000000
33.430000,0.207700,1.000000,0.000000,1.000000,0.869000,1.000000
33.580000,-55.930000,2.000000,0.000000,2.000000,1.862000,3.000000
33.930000,-15.280000,1.000000,0.000000,1.000000,0.951000,1.000000
34.090000,36.220000,0.000000,0.000000,0.000000,0.000000,nan
34.210000,-80.040000,3.000000,2.000000,3.000000,2.708000,3.000000
34.890000,39.280000,0.000000,0.000000,0.000000,0.000000,nan
36.280000,-45.720000,2.000000,0.000000,2.000000,1.506000,3.000000
36.460000,76.860000,0.000000,0.000000,0.000000,0.000000,nan
36.570000,29.380000,0.000000,0.000000,0.000000,0.000000,nan
37.180000,-65.760000,3.000000,2.000000,3.000000,2.539000,3.000000
37.290000,45.730000,0.000000,0.000000,0.000000,0.000000,nan
37.480000,75.540000,0.000000,0.000000,0.000000,0.000000,nan
38.040000,-50.300000,2.000000,0.000000,2.000000,1.715000,3.000000
38.150000,6.366000,1.000000,0.000000,1.000000,0.854000,1.000000
38.420000,66.880000,0.000000,0.000000,0.000000,0.000000,nan
38.490000,46.600000,0.000000,0.000000,0.000000,0.000000,nan
38.920000,66.660000,0.000000,0.000000,0.000000,0.000000,nan
39.020000,-12.990000,1.000000,0.000000,1.000000,0.948000,1.000000
39.390000,-49.320000,2.000000,0.000000,2.000000,1.701000,3.000000
39.800000,-69.110000,3.000000,2.000000,3.000000,2.870000,3.000000
39.890000,-22.920000,2.000000,0.000000,1.000000,1.056000,2.000000
40.350000,-20.500000,2.000000,0.000000,1.000000,1.028000,2.000000
40.370000,-43.350000,2.000000,0.000000,2.000000,1.489000,3.000000
40.640000,-44.540000,2.000000,0.000000,2.000000,1.535000,3.000000
40.850000,-45.010000,2.000000,0.000000,2.000000,1.556000,3.000000
41.120000,-71.280000,4.000000,2.000000,3.000000,3.044000,3.000000
41.260000,-1.671000,1.000000,0.000000,1.000000,0.887000,1.000000
41.930000,-45.760000,2.000000,0.000000,2.000000,1.604000,3.000000
41.990000,-39.890000,3.000000,0.000000,1.000000,1.512000,2.000000
42.080000,-26.500000,2.000000,0.000000,1.000000,1.120000,2.000000
42.110000,-29.190000,2.000000,0.000000,1.000000,1.166000,2.000000
42.200000,-52.590000,2.000000,0.000000,2.000000,1.931000,3.000000
42.250000,-36.140000,2.000000,0.000000,1.000000,1.307000,2.000000
42.250000,28.510000,0.000000,0.000000,0.000000,0.000000,nan
42.280000,-45.110000,2.000000,0.000000,2.000000,1.584000,3.000000
42.300000,-53.660000,2.000000,1.000000,2.000000,1.780000,3.000000
42.720000,45.780000,0.000000,0.000000,0.000000,0.000000,nan
43.310000,-29.170000,2.000000,0.000000,1.000000,1.173000,2.000000
43.820000,72.120000,0.000000,0.000000,0.000000,0.000000,nan
43.830000,26.750000,0.000000,0.000000,0.000000,0.000000,nan
43.980000,26.900000,0.000000,0.000000,0.000000,0.000000,nan
44.550000,-54.480000,3.000000,0.000000,2.000000,1.718000,3.000000
45.170000,-71.670000,5.000000,2.000000,4.000000,3.794000,3.000000
45.860000,-11.060000,1.000000,0.000000,1.000000,0.951000,1.000000
46.520000,10.200000,1.000000,0.000000,1.000000,0.850000,1.000000
46.660000,-61.400000,3.000000,2.000000,3.000000,2.753000,3.000000
46.760000,27.050000,0.000000,0.000000,0.000000,0.000000,nan
46.760000,-26.170000,2.000000,0.000000,0.000000,0.623000,2.000000
47.330000,6.537000,1.000000,0.000000,1.000000,0.862000,1.000000
47.360000,49.990000,0.000000,0.000000,0.000000,0.000000,nan
47.900000,-9.823000,1.000000,0.000000,1.000000,0.946000,1.000000
47.900000,-56.390000,3.000000,2.000000,2.000000,2.388000,3.000000
48.160000,-67.750000,6.000000,3.000000,4.000000,4.089000,3.000000
48.240000,-58.510000,3.000000,2.000000,3.000000,2.587000,3.000000
48.270000,76.160000,0.000000,0.000000,0.000000,0.000000,nan
48.290000,-67.770000,6.000000,3.000000,4.000000,4.145000,3.000000
48.440000,-68.310000,6.000000,4.000000,4.000000,4.308000,3.000000
49.090000,-49.320000,2.000000,0.000000,2.000000,1.935000,3.000000
49.930000,2.508000,1.000000,0.000000,1.000000,0.880000,1.000000
50.290000,10.810000,1.000000,0.000000,1.000000,0.851000,1.000000
50.380000,-35.410000,2.000000,0.000000,1.000000,1.368000,2.000000
50.550000,-73.520000,6.000000,4.000000,6.000000,5.276000,4.000000
50.600000,-12.960000,2.000000,0.000000,1.000000,0.980000,2.000000
50.910000,-47.290000,2.000000,0.000000,2.000000,1.866000,3.000000
51.240000,44.550000,0.000000,0.000000,0.000000,0.000000,nan
